filename,material_id,cif
CaesiumChloride_TlO.cif,565,"data_image0
_chemical_formula_structural       TlO
_chemical_formula_sum              ""Tl1 O1""
_cell_length_a       2.83262
_cell_length_b       2.83262
_cell_length_c       2.83262
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Tl  Tl1       1.0  0.00000  0.00000  0.00000  1.0000
  O   O1        1.0  0.50000  0.50000  0.50000  1.0000
"
CadmiumChloride_RbO2.cif,350,"data_image0
_chemical_formula_structural       Rb3O6
_chemical_formula_sum              ""Rb3 O6""
_cell_length_a       3.71557
_cell_length_b       3.71557
_cell_length_c       17.9697
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    120

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Rb  Rb1       1.0  0.00000  0.00000  0.00000  1.0000
  Rb  Rb2       1.0  0.66667  0.33333  0.33333  1.0000
  Rb  Rb3       1.0  0.33333  0.66667  0.66667  1.0000
  O   O1        1.0  0.00000  0.00000  0.26000  1.0000
  O   O2        1.0  0.00000  0.00000  0.74000  1.0000
  O   O3        1.0  0.66667  0.33333  0.59333  1.0000
  O   O4        1.0  0.66667  0.33333  0.07333  1.0000
  O   O5        1.0  0.33333  0.66667  0.92667  1.0000
  O   O6        1.0  0.33333  0.66667  0.40667  1.0000
"
CadmiumIodide_VO2.cif,214,"data_image0
_chemical_formula_structural       VO2
_chemical_formula_sum              ""V1 O2""
_cell_length_a       2.89247
_cell_length_b       2.89247
_cell_length_c       4.2601
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    120

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  V   V1        1.0  0.00000  0.00000  0.00000  1.0000
  O   O1        1.0  0.33333  0.66667  0.24000  1.0000
  O   O2        1.0  0.66667  0.33333  0.76000  1.0000
"
AntiFluorite_Sb2O.cif,526,"data_image0
_chemical_formula_structural       Sb8O4
_chemical_formula_sum              ""Sb8 O4""
_cell_length_a       5.40513
_cell_length_b       5.40513
_cell_length_c       5.40513
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Sb  Sb1       1.0  0.25000  0.25000  0.25000  1.0000
  Sb  Sb2       1.0  0.75000  0.75000  0.25000  1.0000
  Sb  Sb3       1.0  0.75000  0.25000  0.75000  1.0000
  Sb  Sb4       1.0  0.25000  0.75000  0.75000  1.0000
  Sb  Sb5       1.0  0.25000  0.25000  0.75000  1.0000
  Sb  Sb6       1.0  0.75000  0.75000  0.75000  1.0000
  Sb  Sb7       1.0  0.25000  0.75000  0.25000  1.0000
  Sb  Sb8       1.0  0.75000  0.25000  0.25000  1.0000
  O   O1        1.0  0.00000  0.00000  0.00000  1.0000
  O   O2        1.0  0.00000  0.50000  0.50000  1.0000
  O   O3        1.0  0.50000  0.00000  0.50000  1.0000
  O   O4        1.0  0.50000  0.50000  0.00000  1.0000
"
CaesiumChloride_BiO.cif,545,"data_image0
_chemical_formula_structural       BiO
_chemical_formula_sum              ""Bi1 O1""
_cell_length_a       2.90069
_cell_length_b       2.90069
_cell_length_c       2.90069
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Bi  Bi1       1.0  0.00000  0.00000  0.00000  1.0000
  O   O1        1.0  0.50000  0.50000  0.50000  1.0000
"
RockSalt_SnO.cif,575,"data_image0
_chemical_formula_structural       Sn4O4
_chemical_formula_sum              ""Sn4 O4""
_cell_length_a       4.65737
_cell_length_b       4.65737
_cell_length_c       4.65737
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Sn  Sn1       1.0  0.00000  0.00000  0.00000  1.0000
  Sn  Sn2       1.0  0.00000  0.50000  0.50000  1.0000
  Sn  Sn3       1.0  0.50000  0.00000  0.50000  1.0000
  Sn  Sn4       1.0  0.50000  0.50000  0.00000  1.0000
  O   O1        1.0  0.50000  0.50000  0.50000  1.0000
  O   O2        1.0  0.50000  0.00000  0.00000  1.0000
  O   O3        1.0  0.00000  0.50000  0.00000  1.0000
  O   O4        1.0  0.00000  0.00000  0.50000  1.0000
"
AntiFluorite_Ge2O.cif,476,"data_image0
_chemical_formula_structural       Ge8O4
_chemical_formula_sum              ""Ge8 O4""
_cell_length_a       5.05315
_cell_length_b       5.05315
_cell_length_c       5.05315
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ge  Ge1       1.0  0.25000  0.25000  0.25000  1.0000
  Ge  Ge2       1.0  0.75000  0.75000  0.25000  1.0000
  Ge  Ge3       1.0  0.75000  0.25000  0.75000  1.0000
  Ge  Ge4       1.0  0.25000  0.75000  0.75000  1.0000
  Ge  Ge5       1.0  0.25000  0.25000  0.75000  1.0000
  Ge  Ge6       1.0  0.75000  0.75000  0.75000  1.0000
  Ge  Ge7       1.0  0.25000  0.75000  0.25000  1.0000
  Ge  Ge8       1.0  0.75000  0.25000  0.25000  1.0000
  O   O1        1.0  0.00000  0.00000  0.00000  1.0000
  O   O2        1.0  0.00000  0.50000  0.50000  1.0000
  O   O3        1.0  0.50000  0.00000  0.50000  1.0000
  O   O4        1.0  0.50000  0.50000  0.00000  1.0000
"
Wurtzite_BeO.cif,595,"data_image0
_chemical_formula_structural       Be2O2
_chemical_formula_sum              ""Be2 O2""
_cell_length_a       2.698
_cell_length_b       2.698
_cell_length_c       4.38
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    120

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Be  Be1       1.0  0.33333  0.66667  0.00000  1.0000
  Be  Be2       1.0  0.66667  0.33333  0.50000  1.0000
  O   O1        1.0  0.33333  0.66667  0.37800  1.0000
  O   O2        1.0  0.66667  0.33333  0.87800  1.0000
"
Wurtzite_InO.cif,64,"data_image0
_chemical_formula_structural       In2O2
_chemical_formula_sum              ""In2 O2""
_cell_length_a       3.43061
_cell_length_b       3.43061
_cell_length_c       5.56903
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    120

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  In  In1       1.0  0.33333  0.66667  0.00000  1.0000
  In  In2       1.0  0.66667  0.33333  0.50000  1.0000
  O   O1        1.0  0.33333  0.66667  0.37500  1.0000
  O   O2        1.0  0.66667  0.33333  0.87500  1.0000
"
CadmiumIodide_RuO2.cif,471,"data_image0
_chemical_formula_structural       RuO2
_chemical_formula_sum              ""Ru1 O2""
_cell_length_a       2.91474
_cell_length_b       2.91474
_cell_length_c       4.30312
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    120

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ru  Ru1       1.0  0.00000  0.00000  0.00000  1.0000
  O   O1        1.0  0.33333  0.66667  0.24000  1.0000
  O   O2        1.0  0.66667  0.33333  0.76000  1.0000
"
